feature_name,importance_gain,importance_split,run
Duration,23.49112692475319,19,18
Mostvaluableavailableasset,10.749098017811775,11,18
CreditAmount,50.6893926858902,41,18
Sex&Marital_Status,0.0,0,18
PaymentStatusofPreviousCredit,0.0,0,18
Lengthofcurrentemployment,0.0,0,18
Purpose,33.148167848587036,17,18
Instalmentpercent,15.414590865373611,13,18
ConcurrentCredits,0.0,0,18
Typeofapartment,0.0,0,18
NoofCreditatthisBank,0.0,0,18
Guarantors,0.0,0,18
Occupation,0.0,0,18
Noofdependents,0.0,0,18
DurationinCurrentaddress,7.402425944805145,9,18
AccountBalance,47.123798847198486,23,19
ValueSavings,0.0,0,19
Age,39.90134572982788,24,19
Duration,22.034453332424164,15,19
Mostvaluableavailableasset,14.980149805545807,10,19
CreditAmount,31.631296902894974,25,19
Sex&Marital_Status,0.0,0,19
PaymentStatusofPreviousCredit,0.0,0,19
Lengthofcurrentemployment,7.194992005825043,4,19
Purpose,14.684494063258171,15,19
Instalmentpercent,47.67883151769638,25,19
ConcurrentCredits,0.0,0,19
Typeofapartment,0.0,0,19
NoofCreditatthisBank,0.0,0,19
Guarantors,0.0,0,19
Occupation,0.0,0,19
Noofdependents,0.0,0,19
DurationinCurrentaddress,8.442883908748627,9,19
AccountBalance,34.04631292819977,17,20
ValueSavings,0.0,0,20
Age,15.52402514219284,13,20
Duration,71.67291432619095,40,20
Mostvaluableavailableasset,76.13113105297089,24,20
CreditAmount,35.728280782699585,24,20
Sex&Marital_Status,0.0,0,20
PaymentStatusofPreviousCredit,0.0,0,20
Lengthofcurrentemployment,6.431818962097168,5,20
Purpose,14.383170247077942,10,20
Instalmentpercent,10.232002079486847,7,20
ConcurrentCredits,0.0,0,20
Typeofapartment,0.0,0,20
NoofCreditatthisBank,0.0,0,20
Guarantors,0.0,0,20
Occupation,0.0,0,20
Noofdependents,0.0,0,20
DurationinCurrentaddress,11.553086161613464,10,20
